code,name,level,group_code,group_name,qualification
"22.02.2004","Металловедение и термическая обработка металлов","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист по термической обработке металлов"
"22.02.2005","Обработка металлов давлением","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист по обработке металлов давлением"
"22.02.2006","Сварочное производство","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист сварочного производства"
"22.02.2007","Порошковая металлургия, композиционные материалы, покрытия","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист по порошковой металлургии"
"23.02.2001","Организация перевозок и управление на транспорте (по видам)","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Техник; Старший техник"
"23.02.2002","Автомобиле- и тракторостроение","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Техник; Специалист по автомобиле- и тракторостроению"
"23.02.2003","Техническое обслуживание и ремонт автомобильного транспорта","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Техник; Старший техник"
"23.02.2004","Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям)","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Техник; Старший техник"
"23.02.2005","Эксплуатация транспортного электрооборудования и автоматики (по видам транспорта, за исключением водного)","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Техник-электромеханик"
"23.02.2006","Техническая эксплуатация подвижного состава железных дорог","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Техник; Старший техник"
